시군명,기준년월,월별충전액,월별사용액,인센티브율(%)
과천시,2020-01,1107789000.0,702411000.0,10
과천시,2019-12,492514000.0,548608000.0,6
과천시,2019-11,304364000.0,535891000.0,6
과천시,2019-10,786699000.0,616182000.0,6
과천시,2019-09,866317000.0,468413000.0,6
과천시,2019-08,242187000.0,349798000.0,6
과천시,2019-07,361577000.0,346299000.0,6
과천시,2019-06,163510000.0,291385000.0,6
과천시,2019-05,738301000.0,164238000.0,6
과천시,2019-04,25376000.0,1162000.0,6
과천시,2019-03,,,6
과천시,2019-02,,,6
과천시,2019-01,,,6
광명시,2022-12,11189446000.0,10721247000.0,10
광명시,2022-11,9624174000.0,10293105000.0,10
광명시,2022-10,10448334000.0,10794021000.0,10
광명시,2022-09,10679889000.0,11523158000.0,10
광명시,2022-08,9423327000.0,12093099000.0,10
광명시,2022-07,15690021000.0,14021693000.0,10
광명시,2022-06,15864390000.0,11716580000.0,10
광명시,2022-05,9589073000.0,10744911000.0,10
광명시,2022-04,10618075000.0,10423870000.0,10
광명시,2022-03,9433363000.0,9945286000.0,10
광명시,2022-02,7489115000.0,8772664000.0,10
광명시,2022-01,9849251000.0,11135506000.0,10
광명시,2021-12,10956603000.0,9944177000.0,10
광명시,2021-11,10941086000.0,8530007000.0,10
광명시,2021-10,5945958000.0,5992569000.0,10
광명시,2021-09,6696629000.0,4671039000.0,10
광명시,2021-08,6162182000.0,7232399000.0,10
광명시,2021-07,7590463000.0,10095707000.0,10
광명시,2021-06,14788258000.0,11750789000.0,10
광명시,2021-05,9377349000.0,9567379000.0,10
광명시,2021-04,9392377000.0,8719283000.0,10
광명시,2021-03,7297830000.0,7807034000.0,10
광명시,2021-02,6043489000.0,5358256000.0,10
광명시,2021-01,6346190000.0,6811978000.0,10
광명시,2020-12,8118857000.0,6991235000.0,10
광명시,2020-11,7880494000.0,7245906000.0,10
광명시,2020-10,6729996000.0,7218227000.0,10
광명시,2020-09,7013531000.0,6851110000.0,10
광명시,2020-08,4151462000.0,5334111000.0,10
광명시,2020-07,7448631000.0,5553208000.0,10
광명시,2020-06,5191954000.0,3993955000.0,10
광명시,2020-05,4820262000.0,3501908000.0,10
광명시,2020-04,3323583000.0,2231284000.0,10
광명시,2020-03,1816691000.0,1364922000.0,10
광명시,2020-02,1712842000.0,1132528000.0,10
광명시,2020-01,1460775000.0,1201056000.0,10
광명시,2019-12,1307969000.0,931750000.0,6
광명시,2019-11,524585000.0,889573000.0,6
광명시,2019-10,1349211000.0,862165000.0,6
광명시,2019-09,497664000.0,701032000.0,6
광명시,2019-08,628310000.0,960015000.0,6
광명시,2019-07,1693869000.0,884905000.0,6
광명시,2019-06,354583000.0,544691000.0,6
광명시,2019-05,1010098000.0,531315000.0,6
광명시,2019-04,502905000.0,66934000.0,6
광명시,2019-03,,,6
광명시,2019-02,,,6
광명시,2019-01,,,6
광주시,2022-12,30221391000.0,23521071000.0,10
광주시,2022-11,16804920000.0,19261121000.0,10
광주시,2022-10,18930611000.0,20639611000.0,10
광주시,2022-09,16409232000.0,22534864000.0,10
광주시,2022-08,30757937000.0,24776814000.0,10
광주시,2022-07,27846274000.0,26631714000.0,10
광주시,2022-06,24828719000.0,23414387000.0,10
광주시,2022-05,23641363000.0,23687402000.0,10
광주시,2022-04,21940622000.0,22383789000.0,10
광주시,2022-03,21077274000.0,21462299000.0,10
광주시,2022-02,17494995000.0,17690329000.0,10
광주시,2022-01,18686418000.0,21125474000.0,10
광주시,2021-12,23803279000.0,20506825000.0,10
광주시,2021-11,21660686000.0,17102184000.0,10
