조회년도,시군구명,조사시기(회차),병해충명(수치설명),값
2014,무안군,8,벼멸구(피해율),0.0
2014,무안군,8,세균벼알마름병(피해율),0.0
2014,무안군,8,세균벼알마름병(피해율),0.0
2014,무안군,8,세균벼알마름병(피해율),0.0
2014,무안군,8,이삭도열병(피해율),0.0
2014,무안군,8,이삭도열병(피해율),0.0
2014,무안군,8,이삭도열병(피해율),0.0
2014,무안군,8,혹명나방(피해율),0.0
2014,무안군,8,혹명나방(피해율),0.0
2014,무안군,8,혹명나방(피해율),0.0
2014,무안군,8,흰등멸구(피해율),0.0
2014,무안군,8,흰등멸구(피해율),0.0
2014,무안군,8,흰등멸구(피해율),0.0
2014,무안군,8,흰잎마름병(피해율),0.08
2014,무안군,8,흰잎마름병(피해율),0.08
2014,무안군,8,흰잎마름병(피해율),0.08
2014,보성군,8,깨씨무늬병(피해율),0.0
2014,보성군,8,깨씨무늬병(피해율),0.0
2014,보성군,8,깨씨무늬병(피해율),0.0
2014,보성군,8,먹노린재(피해율),0.0
2014,보성군,8,먹노린재(피해율),0.0
2014,보성군,8,먹노린재(피해율),0.0
2014,보성군,8,벼멸구(피해율),0.0
2014,보성군,8,벼멸구(피해율),0.0
2014,보성군,8,벼멸구(피해율),0.0
2014,보성군,8,세균벼알마름병(피해율),0.0
2014,보성군,8,세균벼알마름병(피해율),0.0
2014,보성군,8,세균벼알마름병(피해율),0.0
2014,보성군,8,이삭도열병(피해율),0.0
2014,보성군,8,이삭도열병(피해율),0.0
2014,보성군,8,이삭도열병(피해율),0.0
2014,보성군,8,혹명나방(피해율),0.0
2014,보성군,8,혹명나방(피해율),0.0
2014,보성군,8,혹명나방(피해율),0.0
2014,보성군,8,흰등멸구(피해율),0.0
2014,보성군,8,흰등멸구(피해율),0.0
2014,보성군,8,흰등멸구(피해율),0.0
2014,보성군,8,흰잎마름병(피해율),0.0
2014,보성군,8,흰잎마름병(피해율),0.0
2014,보성군,8,흰잎마름병(피해율),0.0
2014,순천시,8,깨씨무늬병(피해율),
2014,순천시,8,깨씨무늬병(피해율),
2014,순천시,8,깨씨무늬병(피해율),
2014,순천시,8,먹노린재(피해율),0.02
2014,순천시,8,먹노린재(피해율),0.02
2014,순천시,8,먹노린재(피해율),0.02
2014,순천시,8,벼멸구(피해율),
2014,순천시,8,벼멸구(피해율),
2014,순천시,8,벼멸구(피해율),
2014,순천시,8,세균벼알마름병(피해율),0.02
2014,순천시,8,세균벼알마름병(피해율),0.02
2014,순천시,8,세균벼알마름병(피해율),0.02
2014,순천시,8,이삭도열병(피해율),0.063
2014,순천시,8,이삭도열병(피해율),0.063
2014,순천시,8,이삭도열병(피해율),0.063
2014,순천시,8,혹명나방(피해율),0.02
2014,순천시,8,혹명나방(피해율),0.02
2014,순천시,8,혹명나방(피해율),0.02
2014,순천시,8,흰등멸구(피해율),0.04
2014,순천시,8,흰등멸구(피해율),0.04
2014,순천시,8,흰등멸구(피해율),0.04
2014,순천시,8,흰잎마름병(피해율),
2014,순천시,8,흰잎마름병(피해율),
2014,순천시,8,흰잎마름병(피해율),
2014,신안군,8,깨씨무늬병(피해율),0.022
2014,신안군,8,깨씨무늬병(피해율),0.022
2014,신안군,8,깨씨무늬병(피해율),0.022
2014,신안군,8,먹노린재(피해율),0.0
2014,신안군,8,먹노린재(피해율),0.0
2014,신안군,8,먹노린재(피해율),0.0
2014,신안군,8,벼멸구(피해율),0.002
2014,신안군,8,벼멸구(피해율),0.002
2014,신안군,8,벼멸구(피해율),0.002
2014,신안군,8,세균벼알마름병(피해율),0.006
2014,신안군,8,세균벼알마름병(피해율),0.006
2014,신안군,8,세균벼알마름병(피해율),0.006
2014,신안군,8,이삭도열병(피해율),0.0
2014,신안군,8,이삭도열병(피해율),0.0
2014,신안군,8,이삭도열병(피해율),0.0
2014,신안군,8,혹명나방(피해율),0.0
2014,신안군,8,혹명나방(피해율),0.0
2014,신안군,8,혹명나방(피해율),0.0
2014,신안군,8,흰등멸구(피해율),0.006
2014,신안군,8,흰등멸구(피해율),0.006
2014,신안군,8,흰등멸구(피해율),0.006
2014,신안군,8,흰잎마름병(피해율),0.004
2014,신안군,8,흰잎마름병(피해율),0.004
2014,신안군,8,흰잎마름병(피해율),0.004
2014,여수시,8,깨씨무늬병(피해율),0.83
2014,여수시,8,깨씨무늬병(피해율),0.83
2014,여수시,8,깨씨무늬병(피해율),0.83
2014,여수시,8,먹노린재(피해율),0.0
2014,여수시,8,먹노린재(피해율),0.0
2014,여수시,8,먹노린재(피해율),0.0
2014,여수시,8,벼멸구(피해율),0.0
2014,여수시,8,벼멸구(피해율),0.0
2014,여수시,8,벼멸구(피해율),0.0
2014,여수시,8,세균벼알마름병(피해율),0.0
2014,여수시,8,세균벼알마름병(피해율),0.0
2014,여수시,8,세균벼알마름병(피해율),0.0
2014,여수시,8,이삭도열병(피해율),0.0
2014,여수시,8,이삭도열병(피해율),0.0
2014,여수시,8,이삭도열병(피해율),0.0
2014,여수시,8,혹명나방(피해율),0.08
2014,여수시,8,혹명나방(피해율),0.08
2014,여수시,8,혹명나방(피해율),0.08
2014,여수시,8,흰등멸구(피해율),0.0
2014,여수시,8,흰등멸구(피해율),0.0
2014,여수시,8,흰등멸구(피해율),0.0
2014,여수시,8,흰잎마름병(피해율),0.0
2014,여수시,8,흰잎마름병(피해율),0.0
2014,여수시,8,흰잎마름병(피해율),0.0
2014,영광군,8,깨씨무늬병(피해율),0.0
2014,영광군,8,깨씨무늬병(피해율),0.0
2014,영광군,8,깨씨무늬병(피해율),0.0
2014,영광군,8,먹노린재(피해율),0.0
2014,영광군,8,먹노린재(피해율),0.0
2014,영광군,8,먹노린재(피해율),0.0
2014,영광군,8,벼멸구(피해율),0.0
2014,영광군,8,벼멸구(피해율),0.0
2014,영광군,8,벼멸구(피해율),0.0
2014,영광군,8,세균벼알마름병(피해율),0.0
2014,영광군,8,세균벼알마름병(피해율),0.0
2014,영광군,8,세균벼알마름병(피해율),0.0
2014,영광군,8,이삭도열병(피해율),0.46
2014,영광군,8,이삭도열병(피해율),0.46
2014,영광군,8,이삭도열병(피해율),0.46
2014,영광군,8,혹명나방(피해율),0.0
2014,영광군,8,혹명나방(피해율),0.0
2014,영광군,8,혹명나방(피해율),0.0
2014,영광군,8,흰등멸구(피해율),0.0
2014,영광군,8,흰등멸구(피해율),0.0
2014,영광군,8,흰등멸구(피해율),0.0
