"작물별",2024
"작물별",재배면적(ha)
"논벼",696768
"밭벼",29
"겉보리",6398
"맥주보리",5468
"쌀보리",11432
"콩",74018
"봄감자(노지)",15521
"가을배추",13076
"가을무",5308
"고추",26430
"마늘",23290
"양파",18614
"참깨",18856
"사과",33313
"배",9421
