노선,방향,명칭,총합계,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
경부선,부산,오산,990,791,3,134,30,21,4,6,0,0,1,0,0
경부선,부산,남사,749,596,1,90,20,24,15,2,0,0,1,0,0
경부선,서울,청성,264,160,1,44,17,18,3,7,0,2,6,1,5
경부선,부산,추풍령,253,142,0,36,17,32,4,7,0,0,13,0,2
경부선,서울,추풍령,160,69,0,18,18,26,5,14,0,0,4,1,5
경부선,부산,대신,205,113,1,36,30,10,8,1,2,1,0,0,3
경부선,서울,대신,443,259,0,62,52,35,10,10,2,0,3,0,10
경부선,서울,석적,406,264,1,74,30,19,9,6,1,0,2,0,0
경부선,부산,북안,244,136,0,49,11,21,10,7,0,0,10,0,0
경부선,서울,북안,250,132,0,48,26,17,10,11,0,0,6,0,0
경부선,서울,내남,412,272,0,59,30,22,7,14,0,0,8,0,0
경부선,부산,언양,467,236,2,77,47,49,16,26,0,0,11,0,3
경부선,부산,양산,604,389,5,122,31,30,11,8,0,0,7,0,1
경부선,서울,양산,798,486,2,188,54,25,19,13,0,0,7,0,4
고창담양선,담양,태령,202,148,0,25,8,9,3,4,0,0,5,0,0
무안광주·광주대구선,광주,대강,228,161,0,32,19,12,2,2,0,0,0,0,0
무안광주·광주대구선,광주,남상,245,151,0,56,13,11,6,8,0,0,0,0,0
무안광주·광주대구선,대구,남상,221,117,1,41,31,23,4,4,0,0,0,0,0
무안광주·광주대구선,광주,쌍림,361,257,1,62,26,7,3,2,0,0,0,0,3
무안광주·광주대구선,대구,고령,478,309,3,77,25,43,11,3,0,0,6,0,1
남해제1지선,산인,창원,517,346,4,99,31,15,5,8,2,0,3,0,4
남해제1지선,창원,창원,683,453,3,146,41,18,8,7,0,0,3,0,4
남해선,부산,광양,162,95,2,17,9,14,6,7,0,0,10,0,2
남해선,순천,광양,209,124,0,28,15,20,5,5,0,0,8,0,4
남해선,부산,곤양,327,217,2,62,18,6,3,11,0,0,6,0,2
남해선,영암,강진,159,115,1,26,4,5,2,6,0,0,0,0,0
동해·울산포항선,포항,화산,244,183,0,43,6,6,3,1,1,0,0,0,1
동해·울산포항선,대구,기계,236,193,0,32,8,1,0,0,0,0,2,0,0
부산외곽순환선,기장,일광,907,694,0,143,18,16,7,16,0,0,10,1,2
부산외곽순환선,창원,일광,527,338,0,108,36,20,6,11,0,0,8,0,0
서울양양선,서울,북방,321,269,2,33,7,6,0,3,0,0,1,0,0
서울양양선,서울,서종,557,477,1,61,5,6,5,2,0,0,0,0,0
서천공주선,서천,시초,189,135,1,26,18,6,1,1,0,0,1,0,0
서천공주선,공주,부여,202,153,0,21,15,9,3,0,0,0,1,0,0
서해안선,목포,서서울,495,276,0,55,48,63,15,19,0,0,10,0,9
서해안선,목포,당진,977,726,1,112,60,31,8,20,0,1,17,1,0
서해안선,서울,용연,703,540,1,87,39,15,6,6,1,0,6,0,2
서해안선,목포,서김제,248,192,3,34,7,6,1,3,0,0,2,0,0
서해안선,서울,서김제,337,252,1,54,12,9,5,0,0,0,4,0,0
서해안선,목포,춘장대,166,123,1,24,9,2,5,1,0,1,0,0,0
서해안선,서울,춘장대,361,281,1,52,10,8,3,2,0,0,3,0,1
서해안선,목포,서천,177,122,0,28,14,8,2,2,0,0,1,0,0
서해안선,서울,서천,136,100,0,18,9,5,0,3,0,0,0,1,0
수도권제1순환선,판교-일산,김포,1906,1383,26,334,66,44,14,20,0,0,14,0,5
수도권제1순환선,판교-구리,김포,1851,1342,7,354,102,28,10,4,0,0,4,0,0
수도권제1순환선,판교-일산,시흥,708,492,2,128,46,24,10,4,0,0,1,0,1
수도권제1순환선,판교-구리,시흥,334,232,0,54,12,24,9,0,0,0,1,0,2
수도권제1순환선,판교-구리,청계,2708,1766,0,514,117,137,80,37,5,0,48,1,3
수도권제1순환선,판교-구리,성남,1928,1383,3,369,77,50,25,14,0,0,6,0,1
수도권제1순환선,판교-일산,구리남양주,747,619,0,111,14,2,0,1,0,0,0,0,0
영동선,강릉,적금,349,226,4,67,20,18,5,7,0,0,2,0,0
영동선,인천,적금,392,281,1,62,20,20,6,2,0,0,0,0,0
영동선,강릉,소초,457,371,2,53,10,17,2,0,0,0,1,0,1
영동선,강릉,삽교,259,177,2,35,15,22,7,0,0,0,1,0,0
영동선,인천,삽교,441,320,0,62,20,19,10,6,0,0,4,0,0
영동선,강릉,월정,394,268,2,49,32,17,15,5,0,0,5,0,1
영동선,인천,대관령,260,186,2,37,12,11,7,2,0,0,2,0,1
제2중부선,통영,상번천,877,639,5,135,60,21,4,6,0,0,6,0,1
제2중부선,하남,상번천,1080,819,5,163,40,27,11,12,0,0,3,0,0
통영대전·중부선,하남,금산,298,235,0,33,10,11,6,1,0,0,2,0,0
통영대전·중부선,통영,무주,170,128,0,19,2,18,3,0,0,0,0,0,0
통영대전·중부선,통영,번천,783,484,4,210,49,30,4,1,0,0,1,0,0
통영대전·중부선,하남,번천,499,288,5,128,35,29,8,3,0,0,3,0,0
통영대전·중부선,통영,도척,487,257,1,113,62,40,8,3,1,0,1,0,1
통영대전·중부선,하남,모가,765,526,0,95,65,50,17,0,0,0,11,1,0
통영대전·중부선,통영,일죽,759,509,0,133,78,26,6,3,0,0,4,0,0
통영대전·중부선,하남,일죽,583,367,4,107,48,21,15,13,0,0,7,0,1
통영대전·중부선,하남,진천,660,415,6,126,33,50,11,7,0,0,12,0,0
통영대전·중부선,통영,오창,350,190,1,113,16,23,1,5,0,0,0,1,0
통영대전·중부선,하남,오창,539,380,2,79,25,31,5,7,0,0,6,0,4
통영대전·중부선,하남,수동,250,126,0,35,24,29,12,9,0,0,13,0,2
통영대전·중부선,통영,금곡,229,181,1,30,10,6,1,0,0,0,0,0,0
중부내륙선,창원,가남,741,539,5,103,29,32,12,10,0,0,9,0,2
중부내륙선,양평,앙성,635,506,4,84,21,14,4,1,0,0,1,0,0
중부내륙선,창원,노은,590,418,1,77,42,26,16,5,0,0,3,0,2
중부내륙선,창원,문경,512,397,0,63,33,11,3,2,0,0,2,0,1
중부내륙선,양평,낙상,492,355,1,87,10,23,9,6,0,0,0,0,1
중부내륙선,창원,아포,539,335,1,92,49,40,11,8,0,0,2,0,1
중앙선,부산,홍천강,417,282,4,58,35,20,3,6,0,0,9,0,0
중앙선,부산,만종,469,345,0,50,30,19,5,4,0,0,14,0,2
중앙선,춘천,만종,343,266,3,39,12,9,2,5,0,0,5,0,2
중앙선,부산,안평,309,241,1,40,14,3,3,3,0,0,4,0,0
