노선,방향,명칭,총합계,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
중앙선,춘천,안평,264,187,0,35,18,9,5,4,0,0,6,0,0
중앙선,부산,명곡,310,234,0,53,13,7,1,1,0,0,1,0,0
중앙선,춘천,명곡,251,188,0,42,8,7,4,1,0,0,1,0,0
중앙선,부산,죽령,298,210,0,40,9,15,18,0,0,0,5,1,0
중앙선,춘천,죽령,217,162,1,29,1,9,13,0,0,0,1,0,1
당진영덕선,청주,회인,407,309,0,63,12,14,4,4,0,0,0,1,0
당진영덕선,영덕,상주,297,229,0,49,8,4,1,3,0,0,2,0,1
평택제천선,평택,송탄,517,240,15,94,54,55,9,36,0,0,12,1,1
평택제천선,제천,송탄,462,215,0,101,76,36,10,11,0,0,9,0,4
평택제천선,평택,중앙탑,330,212,1,69,15,8,10,2,0,0,13,0,0
평택제천선,제천,중앙탑,431,304,1,64,16,24,3,5,0,0,13,0,1
평택제천선,평택,금성,204,123,0,26,12,12,11,10,0,0,10,0,0
평택제천선,제천,금성,353,243,2,46,16,10,9,12,0,0,15,0,0
평택제천선,평택,광혜원,374,228,0,59,43,21,6,10,0,0,7,0,0
평택제천선,천안,삼례,319,207,5,43,19,29,5,8,0,0,2,0,1
호남선,순천,전주,275,136,2,49,40,33,9,5,0,0,0,0,1
호남선,천안,전주,219,136,3,38,28,9,4,0,0,0,0,0,1
호남선,천안,서전주,235,158,1,48,9,12,2,5,0,0,0,0,0
호남선,천안,태인,290,223,0,26,20,12,4,4,0,0,0,0,1
호남선,순천,정우,37,16,0,17,2,1,0,0,0,0,0,0,1
호남선,천안,정우,62,35,0,9,6,4,6,1,0,0,0,0,1
호남선,천안,장성,333,235,0,43,21,27,3,1,0,1,1,0,1
호남선,천안,삼기,330,239,1,54,16,10,2,4,0,0,4,0,0
호남선,순천,삼기,227,162,1,41,11,5,1,3,0,0,3,0,0
호남선,천안,주암,299,229,0,48,11,6,0,2,0,0,2,0,1
호남선,순천,주암,151,122,0,17,5,3,0,3,0,0,0,0,1
호남선의지선,회덕,유성,582,451,1,63,31,21,10,1,0,0,2,2,0
호남선의지선,회덕,북대전,440,328,0,55,19,22,8,1,0,0,5,0,2
경부선,부산,양산,614,405,6,111,36,32,12,7,0,0,5,0,0
경부선,서울,삼남,666,447,3,106,41,23,14,19,0,0,10,1,2
경부선,부산,검단,815,494,0,187,60,47,10,6,0,0,11,0,0
경부선,서울,검단,917,550,1,241,43,43,19,7,0,0,11,0,2
경부선,서울,지천,677,436,3,128,45,47,6,4,0,0,6,0,2
경부선,부산,선기,374,203,0,65,48,38,6,8,0,0,5,0,1
경부선,서울,선기,444,285,2,68,29,27,13,8,0,0,8,0,4
경부선,부산,봉산,251,177,0,27,17,18,4,2,0,0,4,0,2
경부선,서울,봉산,374,203,0,65,48,38,6,8,0,0,5,0,1
경부선,서울,청성,262,184,1,40,13,14,2,5,0,0,2,0,1
경부선,부산,옥천,438,290,1,84,26,15,4,8,0,0,1,0,9
경부선,부산,신탄진,849,541,5,128,59,43,11,29,0,0,28,0,5
경부선,서울,옥산,191,58,0,22,40,43,15,0,1,0,8,2,2
경부선,부산,연곡,1040,708,3,144,72,67,14,21,0,0,8,1,2
경부선,부산,오산,916,715,5,141,38,11,2,3,0,0,1,0,0
경부선,서울,오산,805,564,5,150,48,26,4,3,0,0,3,1,1
남해선,순천,강진,114,84,0,20,3,3,0,3,0,0,1,0,0
남해선,영암,벌교,325,245,1,53,12,7,2,2,0,0,2,0,1
남해선,순천,순천,230,160,0,43,10,8,3,0,0,0,6,0,0
남해선,순천,곤양,348,212,2,49,17,18,8,18,1,0,18,0,5
남해선,순천,지수,753,487,2,132,41,22,5,40,0,0,17,0,7
남해선,부산,지수,757,426,2,134,62,51,16,31,0,0,19,0,16
남해선,부산,북창원,576,406,1,87,25,28,11,10,0,0,5,0,3
남해선,순천,진례,678,384,3,166,54,29,10,7,0,0,12,0,13
남해선,부산,진례,622,292,1,135,69,55,11,22,0,0,22,0,15
남해선,순천,김해,608,437,4,103,25,18,8,2,0,0,6,0,5
남해선,부산,김해,656,505,2,100,16,11,6,12,0,0,3,0,1
무안광주·광주대구선,대구,담양,243,174,1,43,14,6,1,3,0,0,1,0,0
서해안선,목포,몽탄,330,228,0,61,15,19,2,3,0,0,2,0,0
서해안선,서울,몽탄,404,314,3,57,11,7,3,8,0,0,0,0,1
서해안선,서울,영광,142,99,0,26,3,10,3,1,0,0,0,0,0
서해안선,목포,고창,175,125,0,19,4,12,7,8,0,0,0,0,0
서해안선,목포,줄포,531,384,2,82,20,24,7,10,0,0,2,0,0
서해안선,서울,무창포,211,146,0,39,8,10,6,1,0,0,1,0,0
서해안선,서울,갈산,260,194,1,34,9,6,12,3,0,0,1,0,0
서해안선,목포,고북,277,221,1,42,8,3,1,1,0,0,0,0,0
서해안선,목포,서산,595,478,1,69,34,9,1,2,0,0,1,0,0
서해안선,서울,용연,1085,834,2,161,42,28,12,5,0,0,1,0,0
서해안선,서울,당진,664,452,2,93,39,38,30,0,0,0,9,0,1
서해안선,목포,향남,798,592,0,124,43,22,13,0,0,0,4,0,0
서해안선,서울,서서울,1730,1161,3,220,120,163,48,0,1,0,9,0,5
울산선,언양,울산,318,231,0,62,15,6,0,4,0,0,0,0,0
울산선,울산,울산,1068,712,2,193,63,55,5,21,0,0,14,1,2
익산포항선,익산,완주,345,240,3,53,14,16,2,8,0,0,8,0,1
익산포항선,장수,완주,294,198,2,55,23,11,2,1,2,0,0,0,0
익산포항선,익산,마이산,199,101,0,38,33,9,7,4,0,0,2,3,2
익산포항선,장수,마이산,197,136,1,25,15,12,7,0,0,0,1,0,0
호남선,천안,주암,270,204,1,36,17,7,2,0,0,0,0,2,1
호남선,순천,대덕,185,141,0,26,13,3,1,1,0,0,0,0,0
호남선,천안,광산,250,159,0,44,17,16,9,4,0,0,0,0,1
호남선,순천,장성,405,277,2,54,29,25,6,10,0,0,1,1,0
호남선,순천,내장산,334,240,2,39,32,18,3,0,0,0,0,0,0
호남선,천안,내장산,343,243,0,63,17,15,3,1,0,0,1,0,0
호남선,천안,전주,241,163,0,26,19,22,8,0,0,0,2,0,1
호남선,순천,삼례,518,400,0,59,15,33,8,1,0,0,2,0,0
세종포천선(구리~포천),구리,소흘,519,337,1,110,28,18,15,4,0,0,5,0,1
세종포천선(구리~포천),포천,소흘,575,366,2,131,41,13,5,9,0,0,8,0,0
당진영덕선,영덕,탄부,607,471,1,84,20,22,0,6,0,0,1,0,2
당진영덕선,청주,상주,326,246,0,40,14,14,3,5,0,0,3,0,1
당진영덕선,영덕,상주,334,245,2,53,11,13,8,1,0,0,1,0,0
당진영덕선,대전,금남,341,252,1,51,15,11,8,1,0,0,1,0,1
당진영덕선,영덕,삼춘,145,98,2,27,6,8,2,2,0,0,0,0,0
당진영덕선,청주,하화,140,108,1,17,8,3,2,0,0,0,1,0,0
당진영덕선,영덕,묵계,118,93,0,22,2,0,1,0,0,0,0,0,0
당진영덕선,청주,지품,202,165,1,24,7,1,2,0,0,0,2,0,0
당진영덕선,영덕,수암,153,117,0,22,4,4,1,3,0,0,2,0,0
통영대전·중부선,통영,고성,441,329,2,65,31,5,2,2,0,0,0,0,5
통영대전·중부선,하남,고성,413,299,3,71,21,12,5,0,0,0,2,0,0
통영대전·중부선,하남,금곡,120,87,0,17,8,5,2,1,0,0,0,0,0
통영대전·중부선,통영,진주,337,234,1,44,17,25,8,0,0,0,8,0,0
통영대전·중부선,하남,진주,279,177,0,45,16,19,8,0,0,0,11,1,2
통영대전·중부선,통영,금서,224,163,0,29,11,10,1,4,0,0,5,0,1
통영대전·중부선,하남,금서,266,174,1,41,11,12,6,14,0,0,4,0,3
통영대전·중부선,통영,수동,262,158,3,27,20,21,6,12,0,0,8,0,7
통영대전·중부선,통영,서상,393,293,1,49,20,19,4,3,0,0,4,0,0
통영대전·중부선,하남,서상,310,218,2,37,15,18,3,5,0,0,9,0,3
통영대전·중부선,대전,무주,309,248,0,41,9,4,4,1,0,0,2,0,0
통영대전·중부선,통영,금산,265,211,1,29,9,9,2,3,0,0,1,0,0
통영대전·중부선,통영,농다리,1013,693,3,164,28,63,11,32,0,0,14,0,5
통영대전·중부선,하남,대소,582,391,1,96,43,27,9,8,0,0,4,1,2
통영대전·중부선,통영,모가,850,552,1,143,61,60,8,5,0,0,19,0,1
통영대전·중부선,하남,도척,391,235,2,100,17,18,5,4,1,0,9,0,0
제2중부선,하남,상번천,720,516,0,111,52,19,5,9,1,1,3,2,1
평택제천선,평택,금성,239,156,2,27,11,8,3,13,0,0,19,0,0
중부내륙선,창원,창녕,606,279,2,94,60,83,51,0,0,0,25,2,10
중부내륙선,양평,창녕,769,386,3,141,61,76,20,34,0,0,26,0,22
중부내륙선,창원,현풍,334,187,0,47,16,36,3,23,0,0,14,1,7
중부내륙선,양평,개진,276,181,1,44,19,19,1,2,0,0,5,0,4
중부내륙선,창원,오봉,215,131,1,28,9,26,5,7,0,0,7,0,1
중부내륙선,양평,선산,435,323,0,71,27,8,0,0,0,0,5,0,1
중부내륙선,창원,사벌,612,426,3,96,33,34,8,9,0,0,3,0,0
중부내륙선,양평,문경,457,296,1,68,19,50,10,0,0,0,10,1,2
중부내륙선,양평,대소원,630,428,2,108,27,35,10,2,0,0,12,0,6
영동선,인천,군자,1159,618,4,182,144,91,47,17,6,0,37,0,13
영동선,강릉,이목,1643,1218,3,260,81,42,15,14,0,0,7,0,3
영동선,인천,이천,740,474,3,111,51,66,17,14,0,0,2,0,2
영동선,강릉,이천,809,503,2,119,87,51,20,16,0,0,8,0,3
영동선,강릉,생태습지,333,227,0,39,26,26,9,4,0,0,1,0,1
영동선,인천,소초,609,471,4,76,14,27,5,4,0,0,5,0,3
영동선,인천,삽교,424,336,2,38,16,15,6,8,0,0,3,0,0
영동선,인천,월정,287,225,1,30,9,10,6,5,0,0,1,0,0
영동선,강릉,대관령전망대,662,607,0,46,3,4,1,0,0,0,1,0,0
중앙선,춘천,읍내,367,265,2,59,13,11,12,2,0,0,1,0,2
중앙선,부산,안평,311,225,0,58,20,3,3,2,0,0,0,0,0
중앙선,부산,풍산,280,224,0,40,6,5,2,1,0,0,2,0,0
중앙선,춘천,보문,249,189,0,35,13,6,1,1,0,0,3,0,1
중앙선,춘천,봉양,321,260,0,43,14,3,0,1,0,0,0,0,0
중앙선,부산,횡성,522,405,1,59,36,14,5,0,0,0,2,0,0
중앙선,춘천,횡성,351,237,1,55,37,13,4,2,0,0,2,0,0
서울양양선,서울,서종,557,472,2,65,12,2,3,1,0,0,0,0,0
서울양양선,양양,동산,434,348,2,52,10,10,2,7,0,0,1,0,2
서울양양선,서울,인제,472,405,0,35,13,11,7,0,0,0,1,0,0
서울양양선,양양,인제,661,565,1,60,6,10,9,8,0,0,2,0,0
서울양양선,서울,양양,501,436,3,35,14,4,6,3,0,0,0,0,0
서울양양선,양양,양양,505,441,3,27,21,3,9,0,0,0,1,0,0
동해·울산포항선,삼척,단봉,227,175,3,26,11,6,4,2,0,0,0,0,0
동해·울산포항선,삼척,강현,239,194,0,20,15,6,1,3,0,0,0,0,0
동해·울산포항선,속초,강현,457,369,2,55,13,9,3,3,0,0,2,0,1
수도권제1순환선,외측,청계,683,416,0,134,55,50,2,13,0,1,12,0,0
호남선의지선,논산,논산,480,303,2,77,54,20,9,9,0,0,5,1,0
호남선의지선,회덕,논산,521,343,0,79,46,31,15,0,0,0,5,0,2
호남선의지선,논산,서대전,497,374,0,79,22,12,2,6,0,0,2,0,0
호남선의지선,논산,북대전,625,449,1,72,47,26,14,4,0,0,11,0,1
고창담양선,고창,장성물류,242,177,0,35,6,7,9,6,0,0,2,0,0
고창담양선,담양,장성물류,298,229,0,39,13,12,3,2,0,0,0,0,0
고창담양선,고창,태령,287,191,0,48,23,11,5,1,0,1,6,1,0
대전남부순환선,산내,산내,281,193,1,60,11,7,3,3,0,0,3,0,0
부산외곽순환선,기장,일광,827,614,1,135,34,14,11,13,0,0,3,0,2
