노선,방향,명칭,시간,총합계,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
경부선,부산,오산졸음쉼터,07:00-08:00,43,31,1,9,2,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,08:00-09:00,50,37,1,9,1,0,2,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,09:00-10:00,75,56,2,14,2,1,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,10:00-11:00,75,59,0,12,2,0,1,0,0,0,0,0,1
경부선,부산,오산졸음쉼터,11:00-12:00,83,67,0,11,4,0,0,0,0,0,1,0,0
경부선,부산,오산졸음쉼터,12:00-13:00,84,65,0,14,4,1,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,13:00-14:00,79,66,0,11,1,0,1,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,14:00-15:00,95,83,0,10,1,1,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,15:00-16:00,71,58,0,8,5,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,16:00-17:00,50,43,0,7,0,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,17:00-18:00,80,74,0,4,0,1,0,1,0,0,0,0,0
경부선,부산,오산졸음쉼터,18:00-19:00,57,50,0,4,1,2,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,19:00-20:00,54,46,0,7,1,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,20:00-21:00,26,23,1,1,1,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,21:00-22:00,34,26,0,7,1,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,22:00-23:00,26,22,0,4,0,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,23:00-24:00,15,10,0,1,2,1,1,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,00:00-01:00,8,6,1,1,0,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,01:00-02:00,11,8,0,0,3,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,02:00-03:00,6,2,0,4,0,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,03:00-04:00,10,2,0,6,1,1,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,04:00-05:00,15,9,0,4,2,0,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,05:00-06:00,22,15,0,4,2,1,0,0,0,0,0,0,0
경부선,부산,오산졸음쉼터,06:00-07:00,38,26,0,9,2,0,0,0,1,0,0,0,0
경부선,서울,오산졸음쉼터,07:00-08:00,41,34,1,5,0,1,0,0,0,0,0,0,0
경부선,서울,오산졸음쉼터,08:00-09:00,61,45,0,13,1,1,0,0,0,0,1,0,0
경부선,서울,오산졸음쉼터,09:00-10:00,72,52,0,14,4,1,0,0,0,0,1,0,0
경부선,서울,오산졸음쉼터,10:00-11:00,61,41,0,16,3,1,0,0,0,0,0,0,0
경부선,서울,오산졸음쉼터,11:00-12:00,77,53,0,20,2,2,0,0,0,0,0,0,0
경부선,서울,오산졸음쉼터,12:00-13:00,92,66,1,18,5,1,0,1,0,0,0,0,0
경부선,서울,오산졸음쉼터,13:00-14:00,96,72,0,16,8,0,0,0,0,0,0,0,0
경부선,서울,오산졸음쉼터,14:00-15:00,131,107,1,20,3,0,0,0,0,0,0,0,0
경부선,서울,오산졸음쉼터,15:00-16:00,110,88,0,19,2,0,0,0,0,0,0,0,1
