노선,방향,명칭,시간,총합계,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
경부선,서울,양산졸음쉼터,07:00-08:00,53,35,3,12,2,1,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,08:00-09:00,58,32,1,22,2,0,0,0,0,0,1,0,0
경부선,서울,양산졸음쉼터,09:00-10:00,67,33,2,27,4,0,1,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,10:00-11:00,59,36,0,21,1,1,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,11:00-12:00,69,44,0,17,1,5,1,1,0,0,0,0,0
경부선,서울,양산졸음쉼터,12:00-13:00,54,31,0,15,3,1,1,2,0,0,0,0,1
경부선,서울,양산졸음쉼터,13:00-14:00,73,46,0,20,3,0,0,1,0,0,3,0,0
경부선,서울,양산졸음쉼터,14:00-15:00,72,41,0,23,5,3,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,15:00-16:00,78,52,0,23,3,0,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,16:00-17:00,71,44,0,21,2,4,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,17:00-18:00,43,30,1,6,0,4,0,0,0,0,1,0,1
경부선,서울,양산졸음쉼터,18:00-19:00,38,34,0,3,0,1,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,19:00-20:00,32,29,0,2,0,0,0,0,0,0,1,0,0
경부선,서울,양산졸음쉼터,20:00-21:00,19,15,0,1,1,0,1,1,0,0,0,0,0
경부선,서울,양산졸음쉼터,21:00-22:00,14,11,0,1,1,1,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,22:00-23:00,9,3,0,2,2,0,0,0,0,0,1,0,1
경부선,서울,양산졸음쉼터,23:00-24:00,8,5,0,1,1,0,0,1,0,0,0,0,0
경부선,서울,양산졸음쉼터,00:00-01:00,5,3,0,0,1,0,1,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,01:00-02:00,6,3,0,3,0,0,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,02:00-03:00,1,0,0,0,0,1,0,0,0,0,0,0,0
경부선,서울,양산졸음쉼터,03:00-04:00,3,1,0,1,0,0,0,1,0,0,0,0,0
경부선,서울,양산졸음쉼터,04:00-05:00,12,7,0,2,2,0,0,0,0,0,0,0,1
