구분,차종,2020년,2021년,2022년,2023년,2024년
무안광주선,소형차,20881,21497,17493,17573,18410
무안광주선,중형차,450,441,372,348,380
무안광주선,대형차,1782,1817,1552,1488,1551
순천완주선,소형차,15865,16657,15835,16624,17212
순천완주선,중형차,360,333,282,289,286
순천완주선,대형차,3096,3054,2697,2749,2690
부산외곽순환선,소형차,47047,46710,53999,55161,56048
부산외곽순환선,중형차,1338,1298,1510,1537,1515
부산외곽순환선,대형차,7330,7258,8189,8611,8843
대구외곽순환선,소형차,0,0,24409,38657,42348
대구외곽순환선,중형차,0,0,526,850,929
대구외곽순환선,대형차,0,0,1617,2452,2580
