노선,방향,명칭,총합계,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
경부선,부산,오산졸음쉼터,1107,884,6,161,38,9,5,1,1,0,1,0,1
경부선,서울,오산졸음쉼터,1441,1120,12,211,51,29,3,11,0,0,2,0,2
경부선,부산,연곡졸음쉼터,1244,860,11,197,71,58,15,17,2,0,9,0,4
경부선,서울,옥산졸음쉼터,377,162,2,65,26,66,16,24,0,0,12,0,4
경부선,부산,신탄진졸음쉼터,955,615,6,173,54,54,18,16,0,0,12,0,7
경부선,부산,옥천졸음쉼터,691,426,2,126,56,50,10,6,1,0,13,0,1
경부선,서울,청성졸음쉼터,367,268,1,53,16,14,2,6,0,0,7,0,0
경부선,부산,봉산진졸음쉼터,189,113,0,33,15,19,4,3,0,0,1,0,1
경부선,서울,봉산졸음쉼터,233,140,1,42,18,18,1,3,0,0,9,0,1
경부선,부산,선기졸음쉼터,426,256,1,82,36,38,7,4,0,0,0,0,2
경부선,서울,선기졸음쉼터,504,342,1,78,24,38,7,4,0,0,9,0,1
경부선,서울,지천졸음쉼터,846,566,7,172,38,36,6,3,0,0,6,2,10
경부선,부산,하빈졸음쉼터,1067,658,7,193,82,63,18,18,0,0,7,1,20
경부선,부산,검단졸음쉼터,790,494,3,179,46,43,13,2,0,0,6,0,4
경부선,서울,검단졸음쉼터,999,645,1,212,62,39,19,10,0,0,4,1,6
경부선,서울,삼남졸음쉼터,767,493,4,144,55,45,5,2,5,0,13,0,1
경부선,부산,양산졸음쉼터,645,431,5,148,24,20,7,8,0,0,1,0,1
고창담양선,고창,장성물류졸음쉼터,230,165,1,41,11,11,1,0,0,0,0,0,0
고창담양선,고창,태령졸음쉼터,313,216,1,61,23,6,1,0,0,0,2,0,3
광주대구선,대구,담양졸음쉼터,293,210,5,54,12,6,5,1,0,0,0,0,0
구리포천선,포천,소홀졸음쉼터,661,443,11,131,31,22,10,6,0,0,7,0,0
구리포천선,구리,소홀졸음쉼터,596,402,7,132,23,11,8,8,0,0,5,0,0
남해선(순천부산),순천,순천졸음쉼터,78,32,0,18,14,8,1,1,0,0,0,1,3
남해선(순천부산),순천,김해졸음쉼터,652,499,2,116,11,6,6,8,1,0,3,0,0
남해선(순천부산),부산,김해졸음쉼터,726,541,7,112,38,12,3,5,0,0,4,0,4
남해선(순천부산),부산,북창원졸음쉼터,629,456,3,112,25,19,4,8,0,0,1,0,1
남해선(순천부산),부산,진례졸음쉼터,735,349,2,147,85,59,18,25,0,0,28,0,22
남해선(순천부산),순천,진례졸음쉼터,676,375,5,148,51,43,8,12,1,0,23,0,10
남해선(순천부산),순천,곤양졸음쉼터,404,246,0,59,23,22,6,22,0,0,16,0,10
남해안선(영암순천),영암,벌교졸음쉼터,363,274,4,63,11,7,2,1,0,0,1,0,0
남해안선(영암순천),순천,강진졸음쉼터,149,97,1,32,5,3,3,7,1,0,0,0,0
당진영덕선(당진대전),대전,금남졸음쉼터,362,286,2,52,6,4,5,2,1,0,4,0,0
당진영덕선(청주영덕),영덕,탄부졸음쉼터,364,284,2,51,13,9,2,2,0,0,1,0,0
당진영덕선(청주영덕),청주,상주졸음쉼터,422,284,2,70,26,22,5,5,0,0,2,0,6
당진영덕선(청주영덕),영덕,상주졸음쉼터,419,314,0,73,22,4,1,4,0,0,0,0,1
당진영덕선(청주영덕),영덕,수한졸음쉼터,523,332,3,74,27,50,21,8,1,0,3,1,3
당진영덕선(청주영덕),영덕,삼춘졸음쉼터,153,106,1,34,4,5,1,1,0,0,1,0,0
당진영덕선(청주영덕),청주,하화졸음쉼터,150,120,1,23,4,1,0,1,0,0,0,0,0
당진영덕선(청주영덕),영덕,묵계졸음쉼터,131,104,1,13,6,2,2,3,0,0,0,0,0
당진영덕선(청주영덕),청주,지품졸음쉼터,168,133,1,23,7,2,0,0,0,0,1,0,1
당진영덕선(청주영덕),영덕,수암졸음쉼터,158,115,2,13,14,4,3,5,0,0,2,0,0
대전남부순환선,산내,산내졸음쉼터,306,205,2,53,21,14,3,1,1,0,6,0,0
동해선,근덕,단봉졸음쉼터,222,164,2,26,8,5,2,10,0,0,4,0,1
동해선,삼척,강현졸음쉼터,358,281,5,33,27,6,2,0,0,0,3,0,1
동해선,속초,강현졸음쉼터,510,417,2,38,29,15,4,1,0,0,4,0,0
동해선,속초,손양졸음쉼터,287,215,5,37,17,3,6,4,0,0,0,0,0
부산외곽순환선,기장,일광졸음쉼터,794,592,2,131,27,12,10,10,0,0,6,0,4
새만금포항선(익산장수),익산,마이산졸음쉼터,229,136,3,36,17,14,5,10,0,0,5,1,2
새만금포항선(익산장수),장수,마이산졸음쉼터,255,183,2,38,19,6,1,3,0,0,1,0,2
새만금포항지선,익산,완주졸음쉼터,402,306,2,61,11,6,2,7,0,0,5,0,2
