search_day,rank,singer,title
20060423,1,손호영(SHY),운다
20060423,2,이승기,제발
20060423,3,넬(NELL),마음을 잃다
20060423,4,코요태,I Love Rock & Roll
20060423,5,브라운 아이드 걸스,The Day
20060423,6,거북이,비행기
20060423,7,박정아,Yeah
20060423,8,엠씨더맥스 (M.C the MAX),사랑을 찾아서
20060423,9,이정(J.Lee),그댈 위한 사랑
20060423,10,간미연,옛날 여자
20060423,11,씨야(SeeYa),미친 사랑의 노래
20060423,12,싸이 (PSY),연예인
20060423,13,환희,Tomorrow
20060423,14,이문세,알 수 없는 인생
20060423,15,임재범,가로수 그늘 아래 서면
20090322,1,SUPER JUNIOR (슈퍼주니어),"쏘리 쏘리 (Sorry, Sorry)"
20090322,2,다비치,8282
20090322,3,에이트(8Eight),심장이 없어
20090322,4,임창정,오랜만이야
20090322,5,2am,친구의 고백
20090322,6,다비치,사고쳤어요
20090322,7,프리스타일(Free Style),마음으로 하는 말 (feat. Hanyi)
20090322,8,이은미,헤어지는 중입니다
20090322,9,휘성(Realslow),Insomnia (불면증)
20090322,10,김종국,행복병 (feat. Shorry J Of MM)
20090322,11,보아 (BoA),I Did It For Love (feat. Sean Garrett)
20090322,12,카라(Kara),Honey (허니)
20090322,13,SS501,애인 만들기
20090322,14,소녀시대 (GIRLS' GENERATION),Gee
20090322,15,럼블 피쉬(Rumble Fish),한사람을 위한 마음
20090322,16,김현중,행복이란
20090322,17,박화요비,반쪽
20090322,18,스윗소로우(SWEET SORROW),그대에게 하는 말
20090322,19,SE7EN,Girls (feat. Lil Kim)
20090322,20,플라이 투 더 스카이,구속
20090322,21,임창정,원하던 안 원하던
20090322,22,FTISLAND (FT아일랜드),나쁜 여자야
20090322,23,태사비애,"어쩌다 널 (duet with 비너스, 드림걸스)"
20090322,24,A & T,가슴이 어떻게 됐나봐
20090322,25,애프터 스쿨(After School),AH
20090322,26,리치(Rich),힘들어
20090322,27,주현미,짜라자짜 (feat. 다비치)
20090322,28,에이스타일(A'Star.1),아쉬운 마음인걸
20090322,29,티맥스(T-Max),Wish Ur My Love (With J)
20090322,30,서문탁,너무 많은...
20090322,31,서태지,Juliet
20090322,32,다비치,사랑이 우습니
20220311,1,박재범,GANADARA (Feat. 아이유)
20220311,2,태연 (TAEYEON),INVU
20220311,3,멜로망스(MeloMance),사랑인가 봐
20220311,4,박봄 (Park Bom),꽃 (With 김민석 of 멜로망스)
20220311,5,MSG워너비(M.O.M),듣고 싶을까
20220311,6,STAYC(스테이씨),RUN2U
20220311,7,폴킴(Paul Kim),어제처럼
20220311,8,백예린 (Yerin Baek),너머 (The Other Side)
20220311,9,태연 (TAEYEON),Weekend
20220311,10,태연 (TAEYEON),어른아이 (Toddler)
20220311,11,GAYLE,abcdefu
20220311,12,태연 (TAEYEON),그런 밤 (Some Nights)
