search_day,rank,singer,title
20220304,1,MSG워너비(M.O.M),듣고 싶을까
20220304,2,태연 (TAEYEON),INVU
20220304,3,폴킴(Paul Kim),어제처럼
20220304,4,STAYC(스테이씨),RUN2U
20220304,5,GAYLE,abcdefu
20220304,6,YENA (최예나),SMILEY (Feat. BIBI)
20220304,7,개코,새벽을 믿지 말자
20220304,8,적재,"손을 잡는다거나, 같이 걷는다거나"
20220304,9,Kelly Clarkson(켈리 클락슨),Stronger (What Doesn't Kill You)
20220304,10,IVE (아이브),ELEVEN
20220304,11,에픽하이 (EPIK HIGH),그래서 그래 (Feat. 윤하)
20220304,12,먼데이 키즈,이젠 친구에서 연인이 되고 싶어
20220304,13,TREASURE(트레저),직진 (JIKJIN)
20220304,14,김민석 (멜로망스),취중고백
20220304,15,비투비,노래 (The Song)
20220304,16,임영웅,사랑은 늘 도망가
20220304,17,TREASURE(트레저),다라리 (DARARI)
20220304,18,아이유(IU),드라마
20220304,19,GOT the beat,Step Back
20220304,20,태연 (TAEYEON),Can't Control Myself
20220304,21,NMIXX,O.O
20220304,22,aespa,Dreams Come True
20220304,23,케이시,언제나 사랑해
20220304,24,원슈타인,존재만으로
20220304,25,태연 (TAEYEON),Weekend
20220304,26,TREASURE(트레저),U
20220304,27,VIVIZ (비비지),BOP BOP!
20220304,28,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
20220304,29,Charlie Puth(찰리 푸스),Light Switch
20220304,30,TREASURE(트레저),괜찮아질 거야 (IT'S OKAY)
20220304,31,The Kid LAROI,STAY
20220304,32,태연 (TAEYEON),그런 밤 (Some Nights)
20220304,33,이무진,신호등
20220304,34,선예,열애중
20220304,35,경서예지,다정히 내 이름을 부르면
20220304,36,10CM,서랍
20220304,37,아이유(IU),strawberry moon
20220304,38,비비(BIBI),우리가 헤어져야 했던 이유
20220304,39,aespa,Next Level
20220304,40,프로미스나인,DM
20220304,41,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY)
20220304,42,이무진,눈이 오잖아(Feat.헤이즈)
20220304,43,선예,대낮에 한 이별
20220304,44,아이유(IU),겨울잠
20220304,45,탑현,호랑수월가
20220304,46,aespa,Savage
20220304,47,BE'O (비오),Counting Stars (Feat. Beenzino)
20220304,48,태연 (TAEYEON),어른아이 (Toddler)
20220304,49,BE'O (비오),문득
20220304,50,샘김(Sam Kim),여름비
20220304,51,V,Christmas Tree
20220304,52,노을,잊을 수 있을까
20220304,53,방탄소년단,Butter
20220304,54,Justin Bieber(저스틴 비버),"Peaches (feat. Daniel Caesar, Giveon)"
20220304,55,방탄소년단,Dynamite
20220304,56,휘인(Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
20220304,57,먼데이 키즈,너 아니면 안돼
20220304,58,아이유(IU),라일락
20220304,59,Coldplay(콜드플레이),My Universe
20220304,60,방탄소년단,Permission to Dance
20220304,61,태일 (TAEIL),Starlight
20220304,62,아이유(IU),Celebrity
20220304,63,AKMU(악뮤),낙하 (with 아이유)
20220304,64,디핵(D-Hack),OHAYO MY NIGHT
20220304,65,주시크 (Joosiq),너를 생각해
20220304,66,Kep1er (케플러),WA DA DA
20220304,67,베이식(Basick),만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
20220304,68,멜로망스(MeloMance),사랑인가 봐
20220304,69,김기태,너무 아픈 사랑은 사랑이 아니었음을
20220304,70,Sam Ryder,Tiny Riot
20220304,71,Justin Bieber(저스틴 비버),Off My Face
20220304,72,MSG워너비(M.O.M),바라만 본다
20220304,73,TREASURE(트레저),사랑해 (I LOVE YOU)
20220304,74,Ed Sheeran(에드 시런),Bad Habits
20220304,75,성시경,너의 모든 순간
20220304,76,태연 (TAEYEON),Timeless
20220304,77,빅마마(Big Mama),아무렇지 않은 척
20220304,78,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
20220304,79,비투비,봄이 피어나
20220304,80,아이유(IU),Blueming
20220304,81,헤이즈(Heize),헤픈 우연
20220304,82,태연 (TAEYEON),Set Myself On Fire
20220304,83,태연 (TAEYEON),Siren
20220304,84,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
20220304,85,김나영,이별후회
20220304,86,Apink (에이핑크),Dilemma
20220304,87,엔하이픈 (ENHYPEN),Polaroid Love
20220304,88,이승윤,언덕나무
20220304,89,Camila Cabello(카밀라 카베요),Bam Bam (feat. Ed Sheeran)
20220304,90,Red Velvet (레드벨벳),Queendom
20220304,91,오마이걸(OH MY GIRL),Dun Dun Dance
20220304,92,백아연,짝사랑 얘기
20220304,93,먼데이 키즈,흰눈
20220304,94,창모(CHANGMO),SMF (Prod. Czaer)
20220304,95,김기태,그날들
20220304,96,도겸,Go!
20220304,97,김기태,제발
20220304,98,The Weeknd(위켄드),Out of Time
20220304,99,Ed Sheeran(에드 시런),Shivers
20220304,100,김기태,사랑한 후에
