분류명,데이터값,분류값ID(코드),수록주기,단위영문명,항목ID,통계표ID,항목명,통계표명,수록시점,최종수정일,분류값영문,분류값명,단위명,항목영문명,기관코드,분류영문명
시설별,6069,C,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Medical and Welfare Facility For The Aged,노인의료복지시설,개소,Number of Facilities,117,By Facility
시설별,6139,C,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Medical and Welfare Facility For The Aged,노인의료복지시설,개소,Number of Facilities,117,By Facility
시설별,6195,C,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Medical and Welfare Facility For The Aged,노인의료복지시설,개소,Number of Facilities,117,By Facility
시설별,232235,C,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Medical and Welfare Facility For The Aged,노인의료복지시설,명,Fixed Number of Entry,117,By Facility
시설별,242974,C,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Medical and Welfare Facility For The Aged,노인의료복지시설,명,Fixed Number of Entry,117,By Facility
시설별,250898,C,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Medical and Welfare Facility For The Aged,노인의료복지시설,명,Fixed Number of Entry,117,By Facility
시설별,4346,C_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Nursing Facility For The Aged,노인요양시설,개소,Number of Facilities,117,By Facility
시설별,4525,C_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Nursing Facility For The Aged,노인요양시설,개소,Number of Facilities,117,By Facility
시설별,4640,C_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Nursing Facility For The Aged,노인요양시설,개소,Number of Facilities,117,By Facility
시설별,216784,C_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Nursing Facility For The Aged,노인요양시설,명,Fixed Number of Entry,117,By Facility
시설별,228495,C_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Nursing Facility For The Aged,노인요양시설,명,Fixed Number of Entry,117,By Facility
시설별,236365,C_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Nursing Facility For The Aged,노인요양시설,명,Fixed Number of Entry,117,By Facility
시설별,1723,C_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Nursing and Cohabitation Home For The Aged,노인요양공동생활가정,개소,Number of Facilities,117,By Facility
시설별,1614,C_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Nursing and Cohabitation Home For The Aged,노인요양공동생활가정,개소,Number of Facilities,117,By Facility
시설별,1555,C_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Nursing and Cohabitation Home For The Aged,노인요양공동생활가정,개소,Number of Facilities,117,By Facility
시설별,15451,C_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Nursing and Cohabitation Home For The Aged,노인요양공동생활가정,명,Fixed Number of Entry,117,By Facility
시설별,14479,C_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Nursing and Cohabitation Home For The Aged,노인요양공동생활가정,명,Fixed Number of Entry,117,By Facility
시설별,14533,C_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Nursing and Cohabitation Home For The Aged,노인요양공동생활가정,명,Fixed Number of Entry,117,By Facility
시설별,69786,D,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Leisure Welfare Facility For The Aged,노인여가복지시설,개소,Number of Facilities,117,By Facility
시설별,70455,D,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Leisure Welfare Facility For The Aged,노인여가복지시설,개소,Number of Facilities,117,By Facility
시설별,70935,D,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Leisure Welfare Facility For The Aged,노인여가복지시설,개소,Number of Facilities,117,By Facility
시설별,0,D,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Leisure Welfare Facility For The Aged,노인여가복지시설,명,Fixed Number of Entry,117,By Facility
시설별,0,D,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Leisure Welfare Facility For The Aged,노인여가복지시설,명,Fixed Number of Entry,117,By Facility
시설별,0,D,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Leisure Welfare Facility For The Aged,노인여가복지시설,명,Fixed Number of Entry,117,By Facility
시설별,366,D_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Welfare Center For The Aged,노인복지관,개소,Number of Facilities,117,By Facility
시설별,438,D_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Welfare Center For The Aged,노인복지관,개소,Number of Facilities,117,By Facility
시설별,454,D_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Welfare Center For The Aged,노인복지관,개소,Number of Facilities,117,By Facility
시설별,0,D_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Welfare Center For The Aged,노인복지관,명,Fixed Number of Entry,117,By Facility
시설별,0,D_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Welfare Center For The Aged,노인복지관,명,Fixed Number of Entry,117,By Facility
시설별,0,D_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Welfare Center For The Aged,노인복지관,명,Fixed Number of Entry,117,By Facility
시설별,68180,D_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Silver Hall,경로당,개소,Number of Facilities,117,By Facility
시설별,68792,D_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Silver Hall,경로당,개소,Number of Facilities,117,By Facility
시설별,69260,D_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Silver Hall,경로당,개소,Number of Facilities,117,By Facility
시설별,0,D_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Silver Hall,경로당,명,Fixed Number of Entry,117,By Facility
시설별,0,D_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Silver Hall,경로당,명,Fixed Number of Entry,117,By Facility
