"시·군·구별(1)",시·군·구별(2),2024,2024,2024
"시·군·구별(1)",시·군·구별(2),노인의료복지시설,노인의료복지시설,노인의료복지시설
"시·군·구별(1)",시·군·구별(2),소계,노인요양시설,노인요양공동생활가정
"시·군·구별(1)",시·군·구별(2),기관수 (개),기관수 (개),기관수 (개)
"전북",정읍시,22,14,8
"전북",남원시,11,10,1
"전북",김제시,23,17,6
"전북",완주군,16,12,4
"전북",진안군,8,5,3
"전북",무주군,6,5,1
"전북",장수군,4,3,1
"전북",임실군,7,3,4
"전북",순창군,6,2,4
"전북",고창군,8,6,2
"전북",부안군,10,8,2
"전남",소계,330,254,76
"전남",목포시,33,26,7
"전남",여수시,34,24,10
"전남",순천시,34,27,7
"전남",나주시,23,20,3
"전남",광양시,19,15,4
"전남",담양군,16,12,4
"전남",곡성군,7,6,1
"전남",구례군,6,6,0
"전남",고흥군,16,15,1
"전남",보성군,6,2,4
"전남",화순군,19,13,6
"전남",장흥군,5,5,0
"전남",강진군,10,7,3
"전남",해남군,20,11,9
"전남",영암군,12,11,1
"전남",무안군,17,14,3
"전남",함평군,12,10,2
"전남",영광군,10,8,2
"전남",장성군,7,7,0
"전남",완도군,12,8,4
"전남",진도군,4,2,2
"전남",신안군,8,5,3
"경북",소계,428,328,100
"경북",포항시남구,22,19,3
"경북",포항시북구,19,18,1
"경북",경주시,25,17,8
"경북",김천시,41,29,12
"경북",안동시,17,15,2
"경북",구미시,54,43,11
"경북",영주시,22,19,3
"경북",영천시,23,14,9
"경북",상주시,23,21,2
"경북",문경시,21,13,8
"경북",경산시,62,39,23
"경북",의성군,18,15,3
"경북",청송군,5,5,0
"경북",영양군,4,4,0
"경북",영덕군,5,5,0
"경북",청도군,12,7,5
"경북",고령군,7,6,1
"경북",성주군,9,6,3
"경북",칠곡군,24,18,6
"경북",예천군,6,6,0
"경북",봉화군,5,5,0
"경북",울진군,3,3,0
"경북",울릉군,1,1,0
"경남",소계,274,225,49
"경남",창원시의창구,20,15,5
"경남",창원시성산구,1,1,0
"경남",창원시마산합포구,15,13,2
"경남",창원시마산회원구,9,7,2
"경남",창원시진해구,12,8,4
"경남",진주시,30,25,5
"경남",통영시,9,8,1
"경남",사천시,17,17,0
"경남",김해시,20,15,5
"경남",밀양시,17,13,4
"경남",거제시,10,10,0
"경남",양산시,29,21,8
"경남",의령군,5,3,2
"경남",함안군,16,12,4
"경남",창녕군,10,9,1
"경남",고성군,8,6,2
"경남",남해군,2,2,0
"경남",하동군,9,6,3
"경남",산청군,11,10,1
"경남",함양군,9,9,0
"경남",거창군,9,9,0
"경남",합천군,6,6,0
"제주",소계,69,60,9
"제주",제주시,47,40,7
"제주",서귀포시,22,20,2
