Genre,Content_Count
드라마,2958
액션,2008
코미디,897
애니메이션,862
스릴러,790
로맨스,641
다양성,529
공포(호러),509
다큐멘터리,271
판타지,264
미스터리,253
SF,237
범죄,215
모험,130
전쟁,118
가족,42
클래식,34
뮤지컬,30
공연,27
사극,27
무협,14
해외영화,12
서부극(웨스턴),10
음악,7
