"특성별(1)",특성별(2),2025,2025,2025,2025,2025,2025
"특성별(1)",특성별(2),사례수 (명),전혀 그렇지 않다 (%),다소 그렇지 않다 (%),보통이다 (%),약간 그렇다 (%),매우 그렇다 (%)
"전체",소계,3553,5.7,12.8,36.8,39.3,5.4
"성별",남성,1737,5.9,12.7,36.6,40.8,4.0
"성별",여성,1816,5.5,12.8,37.0,37.9,6.7
"연령",10대,410,3.6,13.1,39.1,37.8,6.4
"연령",20대,681,5.5,11.9,35.1,41.5,6.1
"연령",30대,744,7.0,11.1,34.6,41.1,6.2
"연령",40대,771,6.7,11.9,40.1,36.2,5.1
"연령",50대,639,4.7,14.9,37.0,39.1,4.3
"연령",60대,256,6.1,18.1,34.3,37.3,4.2
"연령",70세 이상,52,1.8,5.0,35.5,57.6,0.0
