Genre,Content_Count
로맨스,1543
사극/시대극,700
코미디,643
음악,630
범죄 스릴러/수사극,629
미스터리(추리),433
판타지,378
휴먼,299
공포,228
시리즈물,226
공포/오컬트,216
청춘(성장),210
스페셜/비하인드,111
무협,96
정치/권력,80
의학,80
브로맨스,76
복수,71
오피스 드라마,70
웹툰/소설 원작,59
법정,51
단막극,50
아이돌 주연,48
타임슬립,42
막장,38
역대 백상수상작,22
워맨스,16
호로맨스,9
"신원호, 이우정 콤비",9
일일극,8
