"특성별(1)",특성별(2),2025,2025,2025
"특성별(1)",특성별(2),사례수 (명),예 (%),아니오 (%)
"성별",남성,2946,40.1,59.9
"성별",여성,2895,42.6,57.4
"연령",10대,593,39.1,60.9
"연령",20대,806,60.6,39.4
"연령",30대,886,64.4,35.6
"연령",40대,1017,54.7,45.3
"연령",50대,1112,34.5,65.5
"연령",60대,900,14.9,85.1
"연령",70세 이상,527,9.5,90.5
